offense_id,datetime,offense_code,offense_type_id,offense_category_id,geo_lon,geo_lat
201640293220500,2016-01-19 16:40:00,2205,burglary-business-no-force,burglary,-105.004669,39.745717
201636914570700,2016-01-18 14:34:00,5707,criminal-trespassing,Trespassing,-105.004669,39.745717
2016469711239901,2016-07-24 11:24:00,2399,theft-bicycle,larceny,-105.004669,39.745717
2016469848351200,2016-07-25 10:45:00,3512,drug-heroin-possess,drug-alcohol,-105.0048694,39.744035
2016424261239900,2016-07-05 08:00:00,2399,theft-other,larceny,-105.004669,39.745717
2016598384549900,2016-09-18 02:14:00,5499,traf-other,all-other-crimes,-105.0026267,39.7458593
2016535759239901,2016-08-22 16:45:00,2399,theft-bicycle,larceny,-105.0025512,39.7459743
20166002806230500,2016-03-22 10:45:00,2305,theft-items-from-vehicle,theft-from-motor-vehicle,-105.0024895,39.7476542
2016676752549900,2016-10-22 15:15:00,5499,traf-other,all-other-crimes,-105.0024895,39.7476542
20167068830239901,2016-11-03 16:15:00,2399,theft-bicycle,larceny,-105.0020304,39.7456976
2016587994239901,2016-09-13 09:30:00,2399,theft-bicycle,larceny,-105.0048694,39.744035
2016737580131600,2016-11-17 14:47:00,1316,threats-to-injure,public-disorder,-105.004669,39.745717
2016737580539900,2016-11-17 14:47:00,5399,public-peace-other,public-disorder,-105.004669,39.745717
2016737580531200,2016-11-17 14:47:00,5312,disturbing-the-peace,public-disorder,-105.004669,39.745717
2016620346239900,2016-09-23 17:00:00,2399,theft-other,larceny,-105.0025512,39.7459743
20166003730230800,2016-04-10 15:15:00,2308,theft-from-bldg,larceny,-104.9617784,39.6778872
2016688583239900,2016-10-27 10:00:00,2399,theft-other,larceny,-105.0022825,39.7462505
201667216544100,2016-02-01 09:57:00,5441,traffic-accident,traffic-accident,-105.0024895,39.7476542
2016666970544100,2016-10-18 08:20:00,5441,traffic-accident,traffic-accident,-105.0024895,39.7476542
2016702918239901,2016-11-01 14:45:00,2399,theft-bicycle,larceny,-105.0048694,39.744035
2016686681544100,2016-10-26 16:30:00,5441,traffic-accident,traffic-accident,-105.0024895,39.7476542
2017186726540100,2017-03-21 14:50:00,5401,traffic-accident-hit-and-run,traffic-accident,-105.0024895,39.7476542
2016768782230800,2016-11-21 11:00:00,2308,theft-from-bldg,larceny,-105.0022825,39.7462505
2016705162570700,2016-11-03 07:50:00,5707,criminal-trespassing,Trespassing,-105.0024895,39.7476542
2016748696131500,2016-11-22 19:25:00,1315,aggravated-assault,aggravated-assault,-105.0022825,39.7462505
2016732661131300,2016-11-15 12:45:00,1313,assault-simple,other-crimes-against-persons,-105.0048694,39.744035
2016656061544100,2016-10-13 10:57:00,5441,traffic-accident,traffic-accident,-105.0024895,39.7476542
20166703570700,2016-01-04 08:40:00,5707,criminal-trespassing,Trespassing,-105.004669,39.745717
2016808823570700,2016-12-20 17:32:00,5707,criminal-trespassing,Trespassing,-105.0020304,39.7456976
2017154563480300,2017-03-07 19:53:00,4803,police-false-information,all-other-crimes,-105.0048694,39.744035
2016645704542000,2016-10-08 18:24:00,5420,traffic-accident-dui-duid,traffic-accident,-105.004669,39.745717
2017163810544100,2017-03-11 16:15:00,5441,traffic-accident,traffic-accident,-105.0024895,39.7476542
